site,Agelas clathrodes,Agelas dispar,Agelas tubulata,Agelas wiedenmayeri,Aiolocroia crassa,Amphimedon copressa,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina insularis,Aplysina lacunosa,Callyspongia plicifera,Callyspongia vaginalis,Callispongia fallax,Callispongia armigera,Cliona delitrix,Cliona varians,Cribochalina vascolum,Dragmacidon sp.,Dysidea variabilis,Ectyoplasia ferox,Geodia neptuni,Hymeniacidon caerulea,Iotrochota birotulata,Igernella notabilis,Ircinia felix,Ircinia strobilina,Monanchora arbuscula,Mycale laxissima,Mycale laevis,Nipahtes amorpha,Niphates erecta,Niphathes digitalis,Phorbas amaranthus,Scopalina rutzleri,Svenezea flava,Spirastrella coccinea,Verongula reswigui,Verongula rigida,Xestospongia muta
CayoNuevo,0,0,0,0,0,16,0,0,1,3,0,1,0,0,0,0,2,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,4,0
CayoNuevo,1,0,0,0,2,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CayoNuevo,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CayoNuevo,1,0,0,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0,0,0,0,1,0,0,0,6,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,2,4,0,0,0,1,0
AIA,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,2,9,0,0,1,1,0
AIA,0,0,0,0,0,0,0,2,1,12,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,4,0,0,2,1,0
AIA,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
DES2,1,0,0,0,4,19,0,3,4,8,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,0,0,0,4,1,0,19,0,0,0,6,0
DES2,1,0,0,0,1,6,0,3,5,13,0,2,0,1,0,0,1,7,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,3,0,8,0,0,0,5,0
DES2,8,0,2,10,1,7,0,1,0,7,0,0,3,1,0,0,0,0,0,0,2,3,0,0,1,0,1,7,1,0,0,1,7,2,0,18,0,0,0,7,0
DES2,20,4,10,15,4,5,0,0,0,0,0,0,3,5,0,0,4,0,0,0,1,0,0,0,1,0,1,7,3,0,0,2,2,2,0,18,0,0,0,5,0
DES2,20,3,4,8,1,6,0,1,0,0,0,0,2,6,0,0,3,0,0,0,1,0,0,0,1,0,1,5,5,1,0,0,0,1,0,3,0,0,3,3,0
DES2,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0
DES2,0,0,0,0,0,6,0,2,0,14,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,1,8,1,0,15,0,0,0,1,0
DES3,10,0,1,4,2,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,2,1,4,0,0,1,2,2,3,0,1,0,2,0,8,0,0,1,3,0
DES3,10,1,3,5,1,3,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,6,1,0,0,0,1,0,8,0,0,1,4,0
DES3,8,0,2,7,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,7,0
DES3,3,3,0,3,1,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,7,0,0,0,3,0
DES3,7,4,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,15,0,0,0,4,0
DES3,4,8,0,0,5,2,0,0,0,3,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,17,0,0,0,0,0
DES3,2,0,2,0,1,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0
